ID,Year,Keywords,Type,Cites
7.45E+10,1998,artificial intelligence;logic programming;prolog,wos,4
7.45E+10,1998,intelligent decision aids;data fusion;real-time adaptive planning;situation and threat assessment;resource management;command and control system (ccs);artificial intelligence (ai),wos,2
7.46E+10,1998,artificial intelligence;decision support systems;expert systems;management;operations;production,wos,16
7.46E+10,1998,artificial intelligence;decision support systems;flexible manufacturing systems,wos,9
7.46E+10,1998,bayesian learning;probabilistic updating;agent models;coordination;air defense;decision theory;multi-agent;artificial intelligence,wos,17
7.46E+10,1998,genetic programming;multi-agent systems;distributed artificial intelligence,wos,11
7.47E+10,1998,artificial intelligence;backpropagation;permeability;reservoir characterization;supervised artificial neural networks;wireline logs,wos,11
7.47E+10,1998,artificial intelligence;fuzzy systems;supervisory control;real-time control,wos,0
7.47E+10,1998,mind;brain;behavior;distributed adaptive control;learning;neural model;epistemology;robot;conditioning;artificial intelligence,wos,3
7.47E+10,1998,artificial intelligence;synchronous machine control;power system stability,wos,0
7.47E+10,1998,artificial intelligence;location;neural networks;road transportation;self-organizing maps;vector quantization,wos,3
7.49E+10,1998,statistical modelling;neural networks;backpropagation;artificial intelligence,wos,606
7.49E+10,1998,machine learning;neural networks;classification decisions;artificial intelligence;decision making;modeling;simulation,wos,18
7.49E+10,1998,neural networks (computer);artificial intelligence;prostatic neoplasms;cost-effective analysis,wos,57
7.50E+10,1998,xbpms;artificial intelligence;advanced photon source;insertion-device beamlines,wos,2
7.50E+10,1998,renal cell carcinoma;prognosis;feulgen staining;image cytometry;chromatin pattern;dna ploidy;artificial intelligence,wos,5
7.50E+10,1998,chronic pancreatitis;pancreatic adenocarcinoma;diagnosis;image cytometry;feulgen staining;decision trees;artificial intelligence,wos,13
7.50E+10,1998,expertise;medical informatics;decision making;medical cognition;knowledge engineering;artificial intelligence,wos,20
7.51E+10,1998,smart structures;prognostics;health management;artificial intelligence;information processing,wos,2
7.51E+10,1998,spatial modeling;land-use management;dairy farms;artificial intelligence;rule-based model,wos,13
7.52E+10,1998,brain tumour;artificial intelligence;classification;feature selection;genetic programming,wos,34
7.53E+10,1998,artificial intelligence;genetic algorithms;distribution systems;network reconfiguration;optimization,wos,2
7.55E+10,1998,artificial intelligence and law;case-based reasoning;exemplar-models;legal reasoning;similarity,wos,13
7.55E+10,1998,artificial intelligence;cog;dialogue;mary gerhart;image of god;k helmut reich;robot;allan melvin russell;scientific and religious stories,wos,1
7.55E+10,1998,automated visual inspection;image segmentation;wood inspection;quality control;artificial intelligence;fuzzy logic;self-organizing neural networks,wos,7
7.56E+10,1998,holonic manufacturing system;dynamic scheduling;artificial intelligence,wos,0
7.56E+10,1998,column flotation;artificial intelligence;expert systems;process control,wos,27
7.56E+10,1998,intelligent monitoring systems;clinical decision making;artificial intelligence in medicine,wos,7
7.56E+10,1998,case-based reasoning;indexation;artificial intelligence;information systems;operational research,wos,0
7.56E+10,1998,fuzzy sets;pattern recognition;knowledge acquisition and representation;medicine;artificial intelligence,wos,9
7.57E+10,1998,artificial intelligence;decision support systems;knowledge acquisition,wos,15
7.57E+10,1998,robotics;embodied artificial intelligence;representation;epistemology;ontology,wos,0
7.57E+10,1998,artificial intelligence;artificial neural networks;asynchronous transfer mode;broad-band networks;computational intelligence;content addressable memories;data networks;internet;packet switching;pattern recognition;pattern transformation;random access memories,wos,8
7.58E+10,1998,artificial intelligence;qualitative reasoning;flow visualization;particle image velocimetry;mach-zehnder interferometer;computational fluid dynamics;boundary-fitted coordinate method;supercritical water;moving particle semi-implicit method,wos,7
7.58E+10,1998,neural networks;form recognition;artificial intelligence;partial discharges;insulation,wos,0
7.58E+10,1998,pyramidal nets;materials design;materials property prediction;artificial intelligence,wos,7
7.58E+10,1998,forecasting system;artificial intelligence;financial market forecasting,wos,48
7.59E+10,1998,artificial intelligence;planning and scheduling;architecture,wos,0
7.60E+10,1998,artificial intelligence;semiotics;artificial life;object-oriented parallel processing,wos,0
7.60E+10,1998,symbol grounding;artificial intelligence;semiotics;autopoiesis;intranet;internet;meaning;fuzzy sets;webmind,wos,0
7.60E+10,1998,artificial intelligence;semiotics;artificial life;autonomous systems;software engineering;uml;knowledge unit;knowledge space;knowledge taxonomy,wos,3
7.60E+10,1998,artificial intelligence;agents;economics,wos,0
7.60E+10,1998,artificial intelligence;agents;user interface;reasoning;information management;naval applications,wos,0
7.60E+10,1998,process safety;artificial intelligence;process hazards analysis;object-oriented;petri nets,wos,44
7.60E+10,1998,process safety;artificial intelligence;process hazards analysis;expert systems;chemical industry,wos,33
7.60E+10,1998,abstraction;artificial intelligence;inductive reasoning;model/simulation evaluation;model validation;non-monotonic reasoning;simulation correctness,wos,3
7.61E+10,1998,artificial intelligence;trading;neural networks,wos,22
7.62E+10,1998,systems and architectures;heterarchy scheduling and control;erp;discrete optimization;heuristics;distributed artificial intelligence;agent technology;multi-agent systems,wos,134
7.63E+10,1998,risk management;dynamic systems;probability artificial intelligence;offshore platforms;architecture,wos,2
7.64E+10,1998,artificial intelligence;cognitive mapping;design;education;internet;virtual reality,wos,5
7.64E+10,1998,integrated distributed intelligent system architecture;artificial intelligence;environmental pollution,wos,14
7.65E+10,1998,artificial intelligence;assembly planning;design for assembly;integrated product design;intelligent cad/cam,wos,34
7.65E+10,1998,emergency preparedness and management;gis;knowledge representation;nuclear and chemical accidents;artificial intelligence;decision support systems;risk assessment,wos,0
7.65E+10,1998,distributed artificial intelligence;representation of knowledge;reasoning about knowledge;common knowledge;distributed knowledge,wos,3
7.65E+10,1998,backtracking algorithms;constraint satisfaction problem;distributed artificial intelligence;iterative improvement algorithm;multi-agent systems,wos,255
7.67E+10,1998,artificial intelligence;inheritance;inheritance networks;semantic networks;expert systems;non-monotonic reasoning;first-order logic;rule-based systems;insurance;medical insurance;benefits inquiry;application;commercial applications;medical ai;nonmonotonic logic;nonmonotonic techniques,wos,18
7.68E+10,1998,search algorithms;network maintenance;routing;error recovery;network reliability;distributed artificial intelligence,wos,0
7.68E+10,1998,artificial intelligence;expert systems;knowledge representation,wos,9
7.69E+10,1998,artificial intelligence;integrated intelligent systems;logic neural network;multi-valued logic;triple-valued logic,wos,7
7.69E+10,1998,machine tools;diagnostics;artificial intelligence,wos,5
7.70E+10,1998,artificial intelligence;electrical machines and drives diagnostics,wos,1
7.71E+10,1998,optimum design;probabilistic methods;artificial intelligence;introns;quasi-macroevolution;simple genetic algorithm,wos,3
7.72E+10,1998,safety & health;knowledge base;expert systems;hazardous waste operations;designer assistance;artificial intelligence,wos,3
7.72E+10,1999,human reliability assessment;probabilistic safety assessment;event evaluation;expert systems;artificial intelligence,wos,27
7.72E+10,1998,aerospace industry;artificial intelligence;information technology;kbe;landing gear,wos,7
7.72E+10,1998,aesthetics;artificial intelligence;attitudes;dental trauma;follow-up,wos,3
7.72E+10,1998,research methodology;artificial intelligence;speech understanding;introspection,wos,1
7.73E+10,1998,artificial intelligence;brainstorming;computational creativity;idea processors;creativity support systems,wos,4
7.73E+10,1998,dielectric diagnostics;high voltage;insulation;electrical machines;reliability;predictive maintenance;artificial intelligence;expert systems,wos,0
7.73E+10,1998,artificial intelligence methods;robotic systems;system design;planning,wos,0
7.73E+10,1998,artificial intelligence;behavioral criteria;other minds problem;turing test,wos,11
7.74E+10,1998,artificial intelligence;statistical strategy,wos,6
7.74E+10,1998,artificial intelligence;dental enamel;induction analysis;inorganic elements;sims,wos,5
7.74E+10,1998,artificial intelligence;cognition;learning environment;learner modeling;situated learning,wos,3
7.74E+10,1998,agents;artificial intelligence;frames;k-lines;learning theory;minsky,wos,1
7.74E+10,1998,artificial intelligence;machine learning;validation,wos,161
7.74E+10,1998,induction motor drives;sensorless control;vector control;direct torque control;artificial intelligence;neural networks;fuzzy logic;fuzzy neural networks;self-tuning;dsp,wos,2
7.75E+10,1998,agile manufacturing;distributed artificial intelligence;optimization;production;control;genetic algorithms,wos,0
7.75E+10,1998,decentralized systems;agents;artificial intelligence;minimax techniques;decision theory,wos,0
7.75E+10,1998,decentralized systems;agents;distributed artificial intelligence;system design,wos,0
7.75E+10,1998,cognitive agents;distributed artificial intelligence,wos,0
7.75E+10,1998,artificial intelligence;agents;decision support systems;decentralized systems;computer networks,wos,0
7.75E+10,1998,genetic algorithm;reactive power optimization;loss minimization;artificial intelligence,wos,1
7.76E+10,1998,intelligent environments;cooperative buildings;artificial intelligence;embedded computation,wos,4
7.76E+10,1998,user modeling;artificial intelligence;expert systems;neural networks;multi-layer;error back-propagation;connectionist expert systems;supervised learning,wos,3
7.76E+10,1998,information retrieval;distributed artificial intelligence;document filtering;medical search engine,wos,1
7.76E+10,1998,agent;artificial intelligence;collaboration;diagnosis;focus;interaction;networks,wos,0
7.76E+10,1998,bioinformatics;automated protein structure determination;nmr data interpretation;constraint satisfaction;artificial intelligence,wos,0
7.76E+10,1998,antibiotics therapy;resistance;artificial intelligence;case-based reasoning;teleconsultation,wos,0
7.76E+10,1998,kidney;artificial intelligence;case-based reasoning;prognosis;temporal abstraction,wos,0
7.76E+10,1998,natural language processing;coding system;knowledge representation;artificial intelligence,wos,4
7.76E+10,1998,spectroscopic sensors;chemical kinetic and transport models;process control;object-oriented programming;artificial intelligence,wos,3
7.76E+10,1998,artificial intelligence;virtual reality robot;multimodal commands;conceptual dependency;scripts,wos,10
7.77E+10,1998,neural networks;structural analysis;reinforced concrete;load-deflection;crack pattern;artificial intelligence;concrete slabs,wos,12
7.79E+10,1998,hybrid artificial intelligence systems;expert systems;neural networks;wastewater treatment;intelligent real-time applications;g2;simulation and control,wos,21
7.79E+10,1998,power systems;stability analysis;transient stability assessment;time-domain methods;artificial intelligence;decision trees;neural networks,wos,12
7.79E+10,1998,manufacturing control;discrete event systems;artificial intelligence;machine planning,wos,8
7.79E+10,1998,artificial intelligence;automated modelling;equation discovery;lagramge;phytoplankton;system identification,wos,21
7.79E+10,1998,personal identification;face photograph;face recognition;image processing;super-imposition;symmetry group;neural networks;fuzzy systems;artificial intelligence,wos,19
7.80E+10,1998,total plant production;spa (speaking plant approach);sfa (speaking fruit approach);artificial intelligence;identification;optimization,wos,0
7.80E+10,1998,artificial intelligence;multi-agent;leading agent;intelligent framework,wos,0
7.81E+10,1999,artificial intelligence;non-stationary time ordered observations,wos,3
7.81E+10,1999,artificial intelligence;computer-assisted diagnosis;ischemic heart disease;radionuclide imaging,wos,32
7.81E+10,1999,data mining;artificial intelligence;decision trees;fuzzy sets;inductive inference;neural networks;power systems;transient stability assessment,wos,45
7.82E+10,1998,cad/cam models;artificial intelligence;intelligent knowledge-based systems;intelligent manufacturing systems;knowledge-based systems,wos,0
7.82E+10,1998,multi-agent systems;artificial intelligence;context-free grammars,wos,9
7.82E+10,1999,decision support systems;multiple criteria analysis;software;artificial intelligence,wos,12
7.82E+10,1999,multi-criteria decision;decision support systems;artificial intelligence,wos,11
7.82E+10,1999,multicriteria analysis;artificial intelligence;decision support systems;energy;visual interactive modelling,wos,10
7.82E+10,1998,harbor;maritime;genetic algorithms;decision making;artificial intelligence;shipyard;terminal;resource management;multimodel simulation,wos,46
7.82E+10,1998,decision support systems;intermodal container terminal;resource allocation;artificial intelligence;harbor;maritime,wos,90
7.82E+10,1998,fault detection;fault isolation;diagnosis;electronics;artificial intelligence;dynamic systems;envelopes;intervals,wos,0
7.82E+10,1998,adaptive control;artificial intelligence;identification;hierarchical control;intelligent control;fuzzy systems;neural networks,wos,0
7.83E+10,1998,traveler information systems;atis;route guidance;artificial intelligence;its,wos,102
7.83E+10,1998,multi-objective optimization;genetic algorithms;design optimization;min-max optimization;multicriteria optimization;vector optimization;artificial intelligence,wos,18
7.83E+10,1998,artificial intelligence;artificial life;turing test;intelligent agents,wos,4
7.83E+10,1998,ai;cad;cam;capp;cim;integrated distributed artificial intelligence;integrated intelligent systems;expert systems;production engineering,wos,9
7.83E+10,1998,artificial intelligence;fault diagnosis;knowledgepro;expert engine diagnosis,wos,20
7.84E+10,1999,viral load;hla antigens;disease progression;artificial intelligence;neural networks (computer);predictive models,wos,11
7.84E+10,1998,artificial intelligence;frame problem;causal induction;machine learning;logicism;bayesian learning;mml,wos,0
7.85E+10,1999,computer performance monitoring;computer system management;parallel computing;distributed computing;artificial intelligence;machine learning;adaptive;anomaly detection;multidimensional;distribution-free;nearest-neighbors;hypothesis tests;tightness,wos,1
7.85E+10,1999,artificial intelligence;optimization of industrial process,wos,4
7.85E+10,1999,colorectal cancer;artificial intelligence;hybrid system;cox's regression,wos,17
7.86E+10,1999,image processing;artificial intelligence;knowledge-based systems;composition of image processing programs;supervision of a library of programs,wos,32
7.87E+10,1999,artificial intelligence;borehole geophysics;drill cores;ocean drilling;sediments;statistical methods,wos,45
7.87E+10,1998,navigation;temporal planning;generative planner;artificial intelligence;multi-agent coordination,wos,0
7.87E+10,1998,traffic management;sensing;uav;rpv;vision-based;artificial intelligence;expert systems;atms,wos,0
7.87E+10,1999,interval fuzzy sets;inductive learning algorithm;partitions of sets;artificial intelligence,wos,0
7.88E+10,1999,computers;patient education;tailoring;artificial intelligence;multimedia,wos,60
7.88E+10,1999,artificial intelligence;computer models;interventional cardiology;postprocedural complications;ptca;risk prediction,wos,13
7.88E+10,1998,artificial intelligence,wos,1
7.89E+10,1998,artificial intelligence;computational intelligence;evolutionary computation;fuzzy logic;neural networks;pattern recognition,wos,6
7.89E+10,1999,pattern recognition;artificial intelligence;neural networks;speech recognition,wos,4
7.89E+10,1998,artificial intelligence;decision making;forecasting;neural networks,wos,0
7.89E+10,1999,artificial intelligence;neural networks;active neutron interrogation;passive neutron monitoring;transuranic waste,wos,0
7.90E+10,1999,artificial intelligence;optimal control;optimization;search methods;stochastic systems;simulation,wos,36
7.90E+10,1999,kidney;artificial intelligence;case-based reasoning;prognosis;temporal abstraction,wos,23
7.92E+10,1999,neural networks;associative memory;neural computing;optimal design;stability;pattern recognition;system analysis;artificial intelligence,wos,0
7.92E+10,1999,manufacturing;integration;cim;human resources;concurrent engineering;artificial intelligence;virtual enterprise,wos,0
7.92E+10,1999,information management;manufacturing;co-operating agents;modelling;distributed artificial intelligence,wos,0
7.92E+10,1999,distributed artificial intelligence;genetic algorithms,wos,18
7.93E+10,1999,learning vector quantization;probabilistic neural networks;pattern recognition;chemical sensors;electronic nose;artificial intelligence,wos,113
7.93E+10,1999,artificial intelligence (ai);aroma;artificial neural networks (anns);artificial nose;digital signal processing;electronic nose (en);fragrance;gas sensor;genetic algorithms (gas);gann;gannet;karhunen-loeve expansion (kle);karhunen-loeve truncated expansion (klte);neural network (nn);nnet;odor;odorprint;odour;olfactometer;olfactory;scent;smell,wos,64
7.93E+10,1999,multi-agent systems;coordination;cooperation;distributed problem solving;distributed artificial intelligence;computational organizations,wos,104
7.93E+10,1999,fuzzy logic;artificial intelligence;approximate reasoning;possibility theory;reasoning under uncertainty;fuzzy rules;function approximation;model identification;soft computing,wos,55
7.93E+10,1999,fault diagnosis;artificial intelligence;uncertainty;probabilistic logic;conditional probability,wos,14
7.94E+10,1999,artificial intelligence;blackboard model;cad;expert systems,wos,3
7.96E+10,1999,artificial intelligence;case-based reasoning;housing discrimination;knowledge base;certainty factors,wos,3
7.97E+10,1998,artificial intelligence;efficient algorithms;heuristics;intelligent knowledge-based manufacturing systems;optimization,wos,1
7.97E+10,1998,flexible automation;assembly;self-organizing systems;artificial intelligence;fuzzy models;inference engine;architecture,wos,0
7.97E+10,1998,autonomous mobile robots;architecture;agents;decentralized control;communication systems;robot navigation;co-operative control;artificial intelligence,wos,0
7.99E+10,1999,artificial intelligence;assembly path;information mapping;logic branching;machine learning;robotic assembly;weighted algorithm,wos,3
7.99E+10,1999,artificial intelligence;gradient methods;multivariate statistics;networks,wos,18
8.00E+10,1999,multi-objective optimization;genetic algorithms;min-max optimization;multicriteria optimization;artificial intelligence,wos,60
8.00E+10,1999,robust parameter estimation;neuro-fuzzy system;artificial intelligence;neural networks,wos,1
8.00E+10,1998,agents;control system;distributed artificial intelligence;nuclear reactor,wos,0
8.00E+10,1998,diagnosis;gas turbines;qualitative reasoning;qualitative simulation;condition monitoring;artificial intelligence;models;monitoring,wos,0
8.00E+10,1998,fault diagnosis;artificial intelligence;uncertainty;probabilistic logic;conditional probability,wos,0
8.00E+10,1998,fault diagnosis;fault location;power systems;knowledge representation;knowledge-based control;artificial intelligence,wos,0
8.00E+10,1998,artificial intelligence;diagnostic inference;fault diagnosis;abductive reasoning;backward search;causal graphs,wos,0
8.00E+10,1998,artificial intelligence;integrated systems;intelligent control;optimization;data management,wos,0
8.00E+10,1998,real-time control;delays;intelligent control;artificial intelligence;kiln control,wos,0
8.00E+10,1999,cell count;neural networks (computer);backpropagation;artificial intelligence;image processing;computer-assisted;nih image;microscopy;encapsulation,wos,39
8.00E+10,1999,artificial intelligence;multicriteria analysis;pattern recognition;hybrid fuzzy neural networks;fuzzy set theory;multigroup classification,wos,9
8.01E+10,1998,cai;artificial intelligence;teaching software;recombined courseware,wos,0
8.01E+10,1998,software reuse;object-oriented programming;knowledge-based systems;artificial intelligence,wos,0
8.01E+10,1999,artificial intelligence;autonomy;memory;robot behaviors,wos,2
8.02E+10,1998,transmission lines;fault location;series compensation;artificial intelligence,wos,0
8.02E+10,1999,artificial intelligence;neural networks;bankruptcy prediction;classification,wos,211
8.02E+10,1999,semantic graph;image interpretation;constraint satisfaction;labeling;arc-consistency;artificial intelligence,wos,0
8.02E+10,1999,isdn broadband networking;atm;flow & congestion control;real-time systems;neural networks;pattern recognition;artificial intelligence,wos,0
8.04E+10,1999,artificial intelligence;ocean color;oceanography;phytoplankton,wos,27
8.04E+10,1998,artificial intelligence;urban affairs;computer-aided analysis;knowledge-based optimization,wos,0
8.04E+10,1998,artificial intelligence;decision making;scheduling;planning;decision support systems,wos,1
8.04E+10,1999,motors & motion control;artificial intelligence methods;software for controls;advanced controls,wos,1
8.05E+10,1999,microbial identification;artificial intelligence;decision trees,wos,4
8.06E+10,1999,distributed dynamic programming;distributed artificial intelligence;concurrent object-orientedness;actors;high-level petri nets;visualization,wos,1
8.08E+10,1999,artificial intelligence;computer testing;cybernetics;fuzzy approach,wos,0
8.08E+10,1999,artificial intelligence;computer technology;cybernetics;human-computer interaction;philosophy,wos,1
8.08E+10,1999,artificial intelligence;artificial neural networks;pattern recognition;self-organizing maps,wos,11
8.09E+10,1998,computer-aided design;modelling;artificial intelligence;conceptual design;shape;qualitative solid model;domain network;domain calculus;spatial reasoning,wos,0
8.10E+10,1999,power distribution;combinatorial mathematics;parallel processing;search methods;artificial intelligence;optimization methods;distribution economics;losses,wos,0
8.10E+10,1999,hybrid programming (hp);evolutionary programming (ep);tabu list;artificial intelligence (ai);mutation,wos,0
8.10E+10,1999,distributed artificial intelligence;multi-agent systems;cooperating knowledge based systems;distributed health care;hospital information systems,wos,40
8.11E+10,1999,reinforcement learning;multi-agent systems;planning;evolutionary economics;tragedy of the commons;classifier systems;agoric systems;autonomous programming;cognition;artificial intelligence;hayek;complex adaptive systems;temporal difference learning;evolutionary computation;economic models of mind;economic models of computation;blocks world;reasoning;learning;computational learning theory;learning to reason;meta-reasoning,wos,20
8.11E+10,1999,machine control;machine vision;computer boards;artificial intelligence,wos,0
8.11E+10,1999,grinding;artificial intelligence;selection,wos,9
8.11E+10,1999,grinding;artificial intelligence;selection,wos,5
8.12E+10,1999,artificial intelligence;coordinate measuring machine (cmm);genetic algorithms;integer programming;operations scheduling;optimization,wos,15
8.12E+10,1999,artificial intelligence;automatic classification;machine learning;rough sets;rule induction,wos,54
8.12E+10,1999,knowledge acquisition and learning;learning from examples;artificial intelligence;fuzzy algorithms;np-hardness,wos,44
8.12E+10,1999,simulation;forecasting;artificial intelligence;business,wos,0
8.12E+10,1999,forecasting;artificial intelligence;pattern recognition;noise-injection;fourier analysis;time series,wos,29
8.13E+10,1999,knowledge-based systems;artificial neural networks;genetic algorithms;artificial intelligence;design integration;engineering design,wos,2
8.14E+10,1999,agents;artificial intelligence;social interaction,wos,6
8.14E+10,1998,model-based reasoning;case-based reasoning;intelligent diagnostics;service and maintenance support;artificial intelligence,wos,0
8.14E+10,1999,agents;artificial intelligence;chatterbot;cyberspace;gender;multi-user dimensions (muds);software design;turing,wos,4
8.14E+10,1999,artificial intelligence;artificial life;human behavior;value theory;cognitive psychology;expert systems;decision making;knowledge base;reasoning;planing;learning;self-consciousness,wos,0
8.16E+10,1998,artificial intelligence;decision support systems;simulation;and supply chain management,wos,357
8.16E+10,1999,flexible manufacturing systems;multi-agent systems;distributed artificial intelligence;contract-net protocol;dynamic scheduling;scheduling uncertainty,wos,10
8.18E+10,1999,hiv;retrovirus;virus;clinical treatment;drug resistance;mutants;mutation;artificial intelligence;expert systems,wos,11
8.19E+10,1999,artificial intelligence;information science;neural networks;pathology;prostatic neoplasms;urology,wos,31
8.20E+10,1999,cybernetics;homeostatics;sociocybernetics;artificial intelligence,wos,2
8.20E+10,1999,cybernetics;communication;artificial intelligence;knowledge management,wos,0
8.20E+10,1999,artificial intelligence;decision making,wos,12
8.20E+10,1999,artificial intelligence;bonner sphere;crossover;evolution theory;fitness;fredholm integral equation;genetic algorithm;neutron fluence;neutron moderator;neutron source;neutron spectrum;nuclear reactor;particle accelerators;response matrix;spectra unfolding,wos,27
8.21E+10,1999,shear force;artificial intelligence;gait analysis,wos,54
8.22E+10,1998,anomaly detection;adaptive processing;artificial intelligence,wos,0
8.22E+10,1999,artificial intelligence;body-soul dualism;consciousness;embodiment;emotions;neuroscience;process philosophy,wos,4
8.22E+10,1999,artificial intelligence;checkers;computational intelligence;evolutionary computation;neural networks;prisoner's dilemma;tic-tac-toe,wos,102
8.22E+10,1999,artificial intelligence;decision making;hazardous materials;heuristic search;networks;routing;search methods;transportation,wos,0
8.23E+10,1999,artificial intelligence;machine learning;meteorological parameters;models;new growth;red deer;slovenia,wos,8
8.24E+10,1999,artificial intelligence;fault classifier;fault diagnosis;fuzzy artmap;neural networks,wos,25
8.26E+10,1999,robotics;unmanned ground vehicle;autonomous mobility;sensor fusion;artificial intelligence,wos,1
8.26E+10,1999,computation;implementation;computationalism;realization of a function;digital systems;computers;computational practice;cognitive science;artificial intelligence,wos,29
8.26E+10,1999,artificial intelligence in medicine;pro clinical protocols;java expert system shell,wos,7
8.26E+10,1999,case-based reasoning;artificial intelligence technology;problem solving methodology,wos,189
8.27E+10,1998,multi-agent systems;machine learning;distributed artificial intelligence,wos,1
8.28E+10,1999,agents;artificial intelligence;multi-agent systems;networked learning;open and distance learning,wos,5
8.29E+10,1999,knowledge representation;artificial intelligence;extensible markup language (xml);clinical trial,wos,3
8.29E+10,1999,model specification;complexity;non-linearity;artificial intelligence forecasting;financial market,wos,25
8.29E+10,1998,problem solving environments;artificial intelligence;simulation;greedy algorithms,wos,0
8.30E+10,1998,artificial intelligence;control;fault diagnosis;robotics,wos,0
